registration_number,production_line,iata_type,model_name,model_code,icao_code_hex,iata_code_short,construction_number,test_registration_number,rollout_date,first_flight_date,delivery_date,registration_date,line_number,plane_series,airline_iata_code,airline_icao_code,plane_owner,engines_count,engines_type,plane_age,plane_status,plane_class
F-GSPM,Boeing 777,B777-200,777,B777-228(ER),3949EC,772,30456,null,2000-10-01T22:00:00.000Z,2000-10-25T22:00:00.000Z,2000-11-13T23:00:00.000Z,2000-11-16T23:00:00.000Z,0307,228ER,AF,null,Takeoff 1 Ltd,2,JET,17.0,active,null
F-GSPN,Boeing 777,B777-200,777,B777-228(ER),3949ED,772,29011,null,2000-11-08T23:00:00.000Z,2000-12-04T23:00:00.000Z,2000-12-14T23:00:00.000Z,2000-12-19T23:00:00.000Z,0314,228ER,AF,null,GIE Hugo Bail,2,JET,16.0,active,1.0
F-GSPO,Boeing 777,B777-200,777,B777-228(ER),3949EE,772,30614,null,2000-12-16T23:00:00.000Z,2001-01-14T23:00:00.000Z,2001-02-02T23:00:00.000Z,2001-02-05T23:00:00.000Z,0320,228ER,AF,null,Takeoff 3 Ltd,2,JET,16.0,active,null
F-GSPP,Boeing 777,B777-200,777,B777-228(ER),3949EF,772,30615,null,2001-02-03T23:00:00.000Z,2001-02-19T23:00:00.000Z,2001-02-27T23:00:00.000Z,2001-03-01T23:00:00.000Z,0327,228ER,AF,null,Takeoff 4 Ltd,2,JET,16.0,active,null
F-GSPQ,Boeing 777,B777-200,777,B777-228(ER),3949F0,772,28682,null,2001-02-24T23:00:00.000Z,2001-03-08T23:00:00.000Z,2001-03-20T23:00:00.000Z,2001-03-20T23:00:00.000Z,0331,228ER,AF,null,International Lease Finance Corp,2,JET,16.0,active,null
F-GSPR,Boeing 777,B777-200,777,B777-228(ER),3949F1,772,28683,null,2001-09-18T22:00:00.000Z,2001-10-02T22:00:00.000Z,2001-10-18T22:00:00.000Z,2001-10-22T22:00:00.000Z,0367,228ER,AF,null,International Lease Finance Corp,2,JET,16.0,active,null
F-GSPS,Boeing 777,B777-200,777,B777-228(ER),3949F2,772,32306,null,2001-10-06T22:00:00.000Z,2001-10-22T22:00:00.000Z,2001-11-01T23:00:00.000Z,2001-11-05T23:00:00.000Z,0370,228ER,AF,null,null,2,JET,16.0,active,null
F-GSPT,Boeing 777,B777-200,777,B777-228(ER),3949F3,772,32308,null,2001-12-15T23:00:00.000Z,2002-01-09T23:00:00.000Z,2002-01-21T23:00:00.000Z,2002-01-21T23:00:00.000Z,0382,228ER,AF,null,null,2,JET,15.0,active,null
F-GSPU,Boeing 777,B777-200,777,B777-228(ER),3949F4,772,32309,null,2002-01-04T23:00:00.000Z,2002-01-21T23:00:00.000Z,2002-01-31T23:00:00.000Z,2002-02-04T23:00:00.000Z,0383,228ER,AF,null,Lombard Global Finance Company,2,JET,15.0,active,null
F-GSPV,Boeing 777,B777-200,777,B777-228(ER),3949F5,772,28684,null,2002-01-07T23:00:00.000Z,2002-01-23T23:00:00.000Z,2002-02-14T23:00:00.000Z,2002-02-14T23:00:00.000Z,0385,228ER,AF,null,International Lease Finance Corp,2,JET,15.0,active,null
F-GSPX,Boeing 777,B777-200,777,B777-228(ER),3949F7,772,32698,null,2002-02-16T23:00:00.000Z,2002-03-04T23:00:00.000Z,2002-03-12T23:00:00.000Z,2002-03-13T23:00:00.000Z,0392,228ER,AF,null,International Lease Finance Corp,2,JET,15.0,active,null
F-GSPY,Boeing 777,B777-200,777,B777-228(ER),3949F8,772,32305,null,2002-03-04T23:00:00.000Z,2002-03-24T23:00:00.000Z,2002-04-01T22:00:00.000Z,2002-04-03T22:00:00.000Z,0395,228ER,AF,null,null,2,JET,15.0,active,null
F-GSPZ,Boeing 777,B777-200,777,B777-228(ER),3949F9,772,32310,null,2002-04-07T22:00:00.000Z,2002-04-23T22:00:00.000Z,2002-05-20T22:00:00.000Z,2002-07-17T22:00:00.000Z,0401,228ER,AF,null,null,2,JET,15.0,active,null
F-GSQA,Boeing 777,B777-300,777,B777-328(ER),394A00,77W,32723,null,2003-12-06T23:00:00.000Z,2004-01-09T23:00:00.000Z,2004-04-28T22:00:00.000Z,2004-05-06T22:00:00.000Z,0466,328ER,AF,null,International Lease Finance Corp,2,JET,13.0,active,null
F-GSQB,Boeing 777,B777-300,777,B777-328(ER),394A01,77W,32724,null,2004-04-11T22:00:00.000Z,2004-05-04T22:00:00.000Z,2004-05-13T22:00:00.000Z,2004-05-20T22:00:00.000Z,0478,328ER,AF,null,International Lease Finance Corp,2,JET,13.0,active,null
F-GSQC,Boeing 777,B777-300,777,B777-328(ER),394A02,77W,32727,null,2004-04-29T22:00:00.000Z,2004-05-21T22:00:00.000Z,2004-05-31T22:00:00.000Z,2004-06-03T22:00:00.000Z,0480,328ER,AF,null,null,2,JET,13.0,active,null
F-GSQD,Boeing 777,B777-300,777,B777-328(ER),394A03,77W,32726,null,2004-08-14T22:00:00.000Z,2004-09-07T22:00:00.000Z,2004-09-19T22:00:00.000Z,2004-09-22T22:00:00.000Z,0490,328ER,AF,null,null,2,JET,13.0,active,null
F-GSQE,Boeing 777,B777-300,777,B777-328(ER),394A04,77W,32851,null,2004-09-05T22:00:00.000Z,2004-09-23T22:00:00.000Z,2004-10-07T22:00:00.000Z,2004-10-12T22:00:00.000Z,0492,328ER,AF,null,GIE Aliette,2,JET,13.0,active,null
F-GSQF,Boeing 777,B777-300,777,B777-328(ER),394A05,77W,32849,null,2004-09-22T22:00:00.000Z,2004-10-18T22:00:00.000Z,2004-11-11T23:00:00.000Z,2004-11-16T23:00:00.000Z,0494,328ER,AF,null,Celine 32849,2,JET,13.0,active,null
F-GSQG,Boeing 777,B777-300,777,B777-328(ER),394A06,77W,32850,null,2004-11-21T23:00:00.000Z,2004-12-11T23:00:00.000Z,2004-12-22T23:00:00.000Z,2004-12-28T23:00:00.000Z,0500,328ER,AF,null,International Lease Finance Corp,2,JET,12.0,active,null
F-GSQH,Boeing 777,B777-300,777,B777-328(ER),394A07,77W,32711,null,2004-12-04T23:00:00.000Z,2005-01-13T23:00:00.000Z,2005-02-17T23:00:00.000Z,2005-02-21T23:00:00.000Z,0501,328ER,AF,null,International Lease Finance Corp,2,JET,12.0,active,null
F-GSQI,Boeing 777,B777-300,777,B777-328(ER),394A08,77W,32725,null,2004-12-12T23:00:00.000Z,2005-01-27T23:00:00.000Z,2005-03-17T23:00:00.000Z,2005-03-21T23:00:00.000Z,0502,328ER,AF,null,International Lease Finance Corp,2,JET,12.0,active,null
F-GSQJ,Boeing 777,B777-300,777,B777-328(ER),394A09,77W,32852,null,2005-03-05T23:00:00.000Z,2005-03-31T22:00:00.000Z,2005-04-28T22:00:00.000Z,2005-05-08T22:00:00.000Z,0510,328ER,AF,null,International Lease Finance Corp,2,JET,12.0,active,null
F-GSQK,Boeing 777,B777-300,777,B777-328(ER),394A0A,77W,32845,null,2005-07-19T22:00:00.000Z,2005-08-10T22:00:00.000Z,2005-11-16T23:00:00.000Z,2005-11-21T23:00:00.000Z,0530,328ER,AF,null,null,2,JET,12.0,active,null
F-GSQL,Boeing 777,B777-300,777,B777-328(ER),394A0B,77W,32853,null,2005-12-10T23:00:00.000Z,2006-01-05T23:00:00.000Z,2006-01-12T23:00:00.000Z,2006-01-17T23:00:00.000Z,0545,328ER,AF,null,null,2,JET,11.0,active,null
F-GSQM,Boeing 777,B777-300,777,B777-328(ER),394A0C,77W,32848,null,2006-03-06T23:00:00.000Z,2006-03-20T23:00:00.000Z,2006-03-30T22:00:00.000Z,2006-04-03T22:00:00.000Z,0558,328ER,AF,null,null,2,JET,11.0,active,null
F-GSQN,Boeing 777,B777-300,777,B777-328(ER),394A0D,77W,32960,null,2006-04-15T22:00:00.000Z,2006-04-30T22:00:00.000Z,2006-05-25T22:00:00.000Z,2006-05-25T22:00:00.000Z,0565,328ER,AF,null,GIE Cabesterre,2,JET,11.0,active,1.0
F-GSQO,Boeing 777,B777-300,777,B777-328(ER),394A0E,77W,32961,null,2006-05-13T22:00:00.000Z,2006-06-04T22:00:00.000Z,2006-06-13T22:00:00.000Z,2006-06-15T22:00:00.000Z,0570,328ER,AF,null,null,2,JET,11.0,active,null
F-GSQP,Boeing 777,B777-300,777,B777-328(ER),394A0F,77W,35676,null,2006-05-30T22:00:00.000Z,2006-06-22T22:00:00.000Z,2006-06-29T22:00:00.000Z,2006-06-29T22:00:00.000Z,0573,328ER,AF,null,Milvi SAS,2,JET,11.0,active,null
F-GSQR,Boeing 777,B777-300,777,B777-328(ER),394A11,77W,35677,null,2006-07-09T22:00:00.000Z,2006-07-21T22:00:00.000Z,2006-08-02T22:00:00.000Z,2006-08-02T22:00:00.000Z,0579,328ER,AF,null,null,2,JET,11.0,active,null
F-GSQS,Boeing 777,B777-300,777,B777-328(ER),394A12,77W,32962,null,2006-12-16T23:00:00.000Z,2007-01-10T23:00:00.000Z,2007-01-21T23:00:00.000Z,2007-01-21T23:00:00.000Z,0608,328ER,AF,null,null,2,JET,10.0,active,1.0
F-GSQT,Boeing 777,B777-300,777,B777-328(ER),394A13,77W,32846,null,2007-01-29T23:00:00.000Z,2007-02-14T23:00:00.000Z,2007-02-26T23:00:00.000Z,2007-02-26T23:00:00.000Z,0616,328ER,AF,null,null,2,JET,10.0,active,1.0
F-GSQU,Boeing 777,B777-300,777,B777-328(ER),394A14,77W,32847,null,2007-03-03T23:00:00.000Z,2007-03-22T23:00:00.000Z,2007-04-18T22:00:00.000Z,2007-04-18T22:00:00.000Z,0624,328ER,AF,null,null,2,JET,10.0,active,null
F-GSQV,Boeing 777,B777-300,777,B777-328(ER),394A15,77W,32854,null,2007-04-21T22:00:00.000Z,2007-05-17T22:00:00.000Z,2007-05-24T22:00:00.000Z,2007-05-24T22:00:00.000Z,0636,328ER,AF,null,null,2,JET,10.0,active,null
F-GSQX,Boeing 777,B777-300,777,B777-328(ER),394A17,77W,32963,null,2007-05-30T22:00:00.000Z,2007-06-10T22:00:00.000Z,2007-06-28T22:00:00.000Z,2007-06-28T22:00:00.000Z,0645,328ER,AF,null,GIE Octave Bail,2,JET,10.0,active,null
F-GSQY,Boeing 777,B777-300,777,B777-328(ER),394A18,77W,35678,null,2007-06-09T22:00:00.000Z,2007-06-28T22:00:00.000Z,2007-07-09T22:00:00.000Z,2007-07-09T22:00:00.000Z,0647,328ER,AF,null,null,2,JET,10.0,active,null
"F-GTAD,Airbus A318/A319/A32,A321-200,A321,A321-212,394C03,321,0777,D-AVZI,0000-00-00,1998-01-30T23:00:00.000Z,1998-02-08T23:00:00.000Z,1998-02-08T23:00:00.000Z,null,211,AF,null,""Takeoff 5 Ltd., Dublin"",2,JET,19.0,active,1.0"
F-GTAE,Airbus A318/A319/A32,A321-200,A321,A321-212,394C04,321,0796,D-AVZN,0000-00-00,1998-02-24T23:00:00.000Z,1998-03-16T23:00:00.000Z,1998-03-16T23:00:00.000Z,null,211,AF,null,null,2,JET,19.0,active,1.0
F-GTAH,Airbus A318/A319/A32,A321-200,A321,A321-212,394C07,321,1133,D-AVZD,0000-00-00,1999-11-09T23:00:00.000Z,1999-12-06T23:00:00.000Z,1999-12-06T23:00:00.000Z,null,211,AF,null,null,2,JET,17.0,active,1.0
F-GTAJ,Airbus A318/A319/A32,A321-200,A321,A321-212,394C09,321,1476,D-AVZF,2000-01-02T23:00:00.000Z,2001-03-28T22:00:00.000Z,2001-04-10T22:00:00.000Z,2001-04-10T22:00:00.000Z,null,211,AF,null,null,2,JET,16.0,active,1.0
F-GTAK,Airbus A318/A319/A32,A321-200,A321,A321-212,394C0A,321,1658,D-AVZP,2000-01-11T23:00:00.000Z,2001-12-18T23:00:00.000Z,2002-01-17T23:00:00.000Z,2002-01-17T23:00:00.000Z,null,211,AF,null,International Lease Finance Corp,2,JET,15.0,active,1.0
F-GTAL,Airbus A318/A319/A32,A321-200,A321,A321-212,394C0B,321,1691,D-AVZY,2000-02-01T23:00:00.000Z,2002-02-11T23:00:00.000Z,2002-03-03T23:00:00.000Z,2002-03-03T23:00:00.000Z,null,211,AF,null,International Lease Finance Corp,2,JET,15.0,active,null
F-GTAM,Airbus A318/A319/A32,A321-200,A321,A321-212,394C0C,321,1859,D-AVZY,2000-02-10T23:00:00.000Z,2002-11-11T23:00:00.000Z,2003-01-20T23:00:00.000Z,2003-01-20T23:00:00.000Z,null,211,AF,null,Takeoff 6 Ltd,2,JET,14.0,active,1.0
F-GTAO,Airbus A318/A319/A32,A321-200,A321,A321-212,394C0E,321,3098,D-AVZQ,2000-07-03T22:00:00.000Z,2007-04-11T22:00:00.000Z,2007-04-24T22:00:00.000Z,2007-04-24T22:00:00.000Z,null,211,AF,null,International Lease Finance Corp,2,JET,10.0,active,1.0
F-GTAP,Airbus A318/A319/A32,A321-200,A321,A321-211,394C0F,321,3372,D-AVZK,2000-07-31T22:00:00.000Z,2008-01-10T23:00:00.000Z,2008-01-20T23:00:00.000Z,2008-01-20T23:00:00.000Z,null,211,AF,null,International Lease Finance Corp,2,JET,9.0,active,1.0
F-GTAQ,Airbus A318/A319/A32,A321-200,A321,A321-211,394C10,321,3399,D-AVZQ,2000-07-31T22:00:00.000Z,2008-01-30T23:00:00.000Z,2008-02-11T23:00:00.000Z,2008-02-11T23:00:00.000Z,null,211,AF,null,International Lease Finance Corp,2,JET,9.0,active,1.0
F-GTAS,Airbus A318/A319/A32,A321-200,A321,A321-211,394C12,321,3419,D-AVZE,2000-08-01T22:00:00.000Z,2008-02-19T23:00:00.000Z,2008-03-02T23:00:00.000Z,2008-03-02T23:00:00.000Z,null,211,AF,null,International Lease Finance Corp,2,JET,9.0,active,1.0
F-GTAT,Airbus A318/A319/A32,A321-200,A321,A321-211,394C13,321,3441,D-AVZH,2000-08-01T22:00:00.000Z,2008-03-10T23:00:00.000Z,2008-03-24T23:00:00.000Z,2008-03-24T23:00:00.000Z,null,211,AF,null,International Lease Finance Corp,2,JET,9.0,active,1.0
F-GTAU,Airbus A318/A319/A32,A321-200,A321,A321-211,394C14,321,3814,D-AVZE,2000-09-01T22:00:00.000Z,2009-02-17T23:00:00.000Z,2009-02-26T23:00:00.000Z,2009-02-26T23:00:00.000Z,null,211,AF,null,International Lease Finance Corp,2,JET,8.0,active,1.0
F-GTAX,Airbus A318/A319/A32,A321-200,A321,A321-211,394C17,321,3930,D-AZAD,2000-09-04T22:00:00.000Z,2009-05-27T22:00:00.000Z,2009-06-07T22:00:00.000Z,2009-06-07T22:00:00.000Z,null,211,AF,null,International Lease Finance Corp,2,JET,8.0,active,null
F-GTAY,Airbus A318/A319/A32,A321-200,A321,A321-211,394C18,321,4251,D-AZAG,2000-10-02T22:00:00.000Z,2010-03-17T23:00:00.000Z,2010-03-29T22:00:00.000Z,2010-03-29T22:00:00.000Z,null,211,AF,null,null,2,JET,7.0,active,1.0
F-GTAZ,Airbus A318/A319/A32,A321-200,A321,A321-211,394C19,321,4901,D-AVZG,2000-11-09T23:00:00.000Z,2011-10-26T22:00:00.000Z,2011-11-22T23:00:00.000Z,2011-11-22T23:00:00.000Z,null,212,AF,null,null,2,JET,6.0,active,1.0
F-GUGA,Airbus A318/A319/A32,A318-100,A318,A318-111,3950C0,318,2035,D-AUAD,2000-03-08T23:00:00.000Z,2003-09-11T22:00:00.000Z,2003-10-08T22:00:00.000Z,2003-10-08T22:00:00.000Z,null,111,AF,null,null,2,JET,14.0,active,1.0
F-GUGB,Airbus A318/A319/A32,A318-100,A318,A318-111,3950C1,318,2059,D-AUEF,2000-03-09T23:00:00.000Z,2003-10-14T22:00:00.000Z,2003-11-06T23:00:00.000Z,2003-11-06T23:00:00.000Z,null,111,AF,null,null,2,JET,14.0,active,1.0
F-GUGC,Airbus A318/A319/A32,A318-100,A318,A318-111,3950C2,318,2071,D-AUAG,2000-03-09T23:00:00.000Z,2003-10-23T22:00:00.000Z,2003-11-20T23:00:00.000Z,2003-11-20T23:00:00.000Z,null,111,AF,null,null,2,JET,14.0,active,1.0
F-GUGD,Airbus A318/A319/A32,A318-100,A318,A318-111,3950C3,318,2081,D-AUAH,2000-03-10T23:00:00.000Z,2003-11-06T23:00:00.000Z,2003-12-04T23:00:00.000Z,2003-12-04T23:00:00.000Z,null,111,AF,null,null,2,JET,13.0,active,1.0
F-GUGE,Airbus A318/A319/A32,A318-100,A318,A318-111,3950C4,318,2100,D-AUAI,2000-03-10T23:00:00.000Z,2003-12-02T23:00:00.000Z,2003-12-16T23:00:00.000Z,2003-12-16T23:00:00.000Z,null,111,AF,null,null,2,JET,13.0,active,null
F-GUGF,Airbus A318/A319/A32,A318-100,A318,A318-111,3950C5,318,2109,D-AUAJ,2000-03-31T22:00:00.000Z,2004-01-12T23:00:00.000Z,2004-04-01T22:00:00.000Z,2004-04-01T22:00:00.000Z,null,111,AF,null,null,2,JET,13.0,active,1.0
F-GUGG,Airbus A318/A319/A32,A318-100,A318,A318-111,3950C6,318,2317,D-AUAA,2000-04-09T22:00:00.000Z,2004-10-06T22:00:00.000Z,2004-10-28T22:00:00.000Z,2004-10-28T22:00:00.000Z,null,111,AF,null,null,2,JET,13.0,active,1.0
F-GUGH,Airbus A318/A319/A32,A318-100,A318,A318-111,3950C7,318,2344,D-AUAF,2000-04-09T22:00:00.000Z,2004-11-03T23:00:00.000Z,2004-12-05T23:00:00.000Z,2004-12-05T23:00:00.000Z,null,111,AF,null,null,2,JET,13.0,active,1.0
F-GUGI,Airbus A318/A319/A32,A318-100,A318,A318-111,3950C8,318,2350,D-AUAG,2000-04-10T22:00:00.000Z,2004-11-09T23:00:00.000Z,2004-12-12T23:00:00.000Z,2004-12-12T23:00:00.000Z,null,111,AF,null,null,2,JET,12.0,active,1.0
F-GUGJ,Airbus A318/A319/A32,A318-100,A318,A318-111,3950C9,318,2582,D-AUAE,2000-05-08T22:00:00.000Z,2005-10-04T22:00:00.000Z,2005-10-13T22:00:00.000Z,2005-10-13T22:00:00.000Z,null,111,AF,null,null,2,JET,12.0,active,1.0
F-GUGK,Airbus A318/A319/A32,A318-100,A318,A318-111,3950CA,318,2601,D-AUAF,2000-05-09T22:00:00.000Z,2005-10-25T22:00:00.000Z,2005-11-08T23:00:00.000Z,2005-11-08T23:00:00.000Z,null,111,AF,null,null,2,JET,12.0,active,1.0
F-GUGL,Airbus A318/A319/A32,A318-100,A318,A318-111,3950CB,318,2686,D-AUAA,2000-06-01T22:00:00.000Z,2006-02-07T23:00:00.000Z,2006-02-21T23:00:00.000Z,2006-02-21T23:00:00.000Z,null,111,AF,null,null,2,JET,11.0,active,1.0
F-GUGM,Airbus A318/A319/A32,A318-100,A318,A318-111,3950CC,318,2750,D-AUAB,2000-06-02T22:00:00.000Z,2006-04-02T22:00:00.000Z,2006-04-12T22:00:00.000Z,2006-04-12T22:00:00.000Z,null,111,AF,null,null,2,JET,11.0,active,1.0
F-GUGN,Airbus A318/A319/A32,A318-100,A318,A318-111,3950CD,318,2918,D-AUAB,2000-06-09T22:00:00.000Z,2006-10-16T22:00:00.000Z,2006-10-25T22:00:00.000Z,2006-10-25T22:00:00.000Z,null,111,AF,null,null,2,JET,11.0,active,null
F-GUGO,Airbus A318/A319/A32,A318-100,A318,A318-111,3950CE,318,2951,D-AUAD,2000-06-10T22:00:00.000Z,2006-11-14T23:00:00.000Z,2006-11-26T23:00:00.000Z,2006-11-26T23:00:00.000Z,null,111,AF,null,null,2,JET,10.0,active,1.0
F-GUGP,Airbus A318/A319/A32,A318-100,A318,A318-111,3950CF,318,2967,D-AUAF,2000-06-10T22:00:00.000Z,2006-12-04T23:00:00.000Z,2006-12-13T23:00:00.000Z,2006-12-13T23:00:00.000Z,null,111,AF,null,null,2,JET,10.0,active,null
F-GUGQ,Airbus A318/A319/A32,A318-100,A318,A318-111,3950D0,318,2972,D-AUAG,2000-06-11T22:00:00.000Z,2006-12-07T23:00:00.000Z,2007-01-10T23:00:00.000Z,2007-01-10T23:00:00.000Z,null,111,AF,null,null,2,JET,10.0,active,1.0
F-GUGR,Airbus A318/A319/A32,A318-100,A318,A318-111,3950D1,318,3009,D-AUAJ,2000-06-30T22:00:00.000Z,2007-01-16T23:00:00.000Z,2007-02-21T23:00:00.000Z,2007-02-21T23:00:00.000Z,null,111,AF,null,null,2,JET,10.0,active,null
F-GUOB,Boeing 777,B777-200,777,B777-F28,3951C1,77X,32965,null,2008-07-01T22:00:00.000Z,2008-08-08T22:00:00.000Z,2009-02-23T23:00:00.000Z,2009-02-23T23:00:00.000Z,0732,F28,AF,null,BOC Aviation,2,JET,9.0,active,null
F-GUOC,Boeing 777,B777-200,777,B777-F28,3951C2,77X,32966,null,2008-11-18T23:00:00.000Z,2009-02-06T23:00:00.000Z,2009-02-19T23:00:00.000Z,2009-02-19T23:00:00.000Z,0752,F28,AF,null,BOC Aviation,2,JET,8.0,active,null
F-GZCA,Airbus A330/A340,A330-200,A330,A330-203,396440,332,422,null,2000-01-07T23:00:00.000Z,2001-08-23T22:00:00.000Z,2001-12-22T23:00:00.000Z,2001-12-22T23:00:00.000Z,null,203,AF,null,Gie Estelle Bail,2,JET,16.0,active,1.0
F-GZCB,Airbus A330/A340,A330-200,A330,A330-203,396441,332,443,null,2000-01-10T23:00:00.000Z,2001-11-28T23:00:00.000Z,2001-12-16T23:00:00.000Z,2001-12-16T23:00:00.000Z,null,203,AF,null,Leah SAS,2,JET,15.0,active,1.0
F-GZCC,Airbus A330/A340,A330-200,A330,A330-203,396442,332,448,null,2000-01-31T23:00:00.000Z,2002-01-08T23:00:00.000Z,2002-01-28T23:00:00.000Z,2002-01-28T23:00:00.000Z,null,203,AF,null,International Lease Finance Corp,2,JET,15.0,active,1.0
F-GZCD,Airbus A330/A340,A330-200,A330,A330-203,396443,332,458,null,2000-02-01T23:00:00.000Z,2002-02-24T23:00:00.000Z,2002-03-18T23:00:00.000Z,2002-03-18T23:00:00.000Z,null,203,AF,null,International Lease Finance Corp,2,JET,15.0,active,1.0
F-GZCE,Airbus A330/A340,A330-200,A330,A330-203,396444,332,465,null,2000-02-02T23:00:00.000Z,2002-03-11T23:00:00.000Z,2002-03-27T23:00:00.000Z,2002-03-27T23:00:00.000Z,null,203,AF,null,International Lease Finance Corp,2,JET,15.0,active,1.0
F-GZCF,Airbus A330/A340,A330-200,A330,A330-203,396445,332,481,null,2000-02-04T23:00:00.000Z,2002-06-05T22:00:00.000Z,2002-06-27T22:00:00.000Z,2002-06-27T22:00:00.000Z,null,203,AF,null,International Lease Finance Corp,2,JET,15.0,active,1.0
F-GZCG,Airbus A330/A340,A330-200,A330,A330-203,396446,332,498,null,2000-02-09T23:00:00.000Z,2002-10-18T22:00:00.000Z,2004-03-18T23:00:00.000Z,2002-12-19T23:00:00.000Z,null,203,AF,null,null,2,JET,15.0,active,1.0
F-GZCH,Airbus A330/A340,A330-200,A330,A330-203,396447,332,500,null,2000-02-08T23:00:00.000Z,2002-09-10T22:00:00.000Z,2002-10-17T22:00:00.000Z,2002-10-17T22:00:00.000Z,null,203,AF,null,Lombard Global Finance Company,2,JET,15.0,active,1.0
F-GZCI,Airbus A330/A340,A330-200,A330,A330-203,396448,332,502,null,2000-02-08T23:00:00.000Z,2002-09-23T22:00:00.000Z,2005-04-11T22:00:00.000Z,2002-12-19T23:00:00.000Z,null,203,AF,null,GECAS,2,JET,15.0,active,1.0
F-GZCJ,Airbus A330/A340,A330-200,A330,A330-203,396449,332,503,null,2000-02-09T23:00:00.000Z,2002-10-07T22:00:00.000Z,2002-11-21T23:00:00.000Z,2002-11-21T23:00:00.000Z,null,203,AF,null,GECAS,2,JET,15.0,active,1.0
F-GZCK,Airbus A330/A340,A330-200,A330,A330-203,39644A,332,516,null,2000-02-29T23:00:00.000Z,2003-02-02T23:00:00.000Z,2003-03-03T23:00:00.000Z,2003-03-03T23:00:00.000Z,null,203,AF,null,International Lease Finance Corp,2,JET,14.0,active,1.0
F-GZCL,Airbus A330/A340,A330-200,A330,A330-203,39644B,332,519,null,2000-03-01T23:00:00.000Z,2003-02-16T23:00:00.000Z,2003-03-23T23:00:00.000Z,2003-03-23T23:00:00.000Z,null,203,AF,null,International Lease Finance Corp,2,JET,14.0,active,null
F-GZCM,Airbus A330/A340,A330-200,A330,A330-203,39644C,332,567,null,2000-03-31T22:00:00.000Z,2004-01-09T23:00:00.000Z,2004-01-29T23:00:00.000Z,2004-01-29T23:00:00.000Z,null,203,AF,null,International Lease Finance Corp,2,JET,13.0,active,null
F-GZCN,Airbus A330/A340,A330-200,A330,A330-203,39644D,332,584,null,2000-04-02T22:00:00.000Z,2004-03-12T23:00:00.000Z,2004-03-29T22:00:00.000Z,2004-03-29T22:00:00.000Z,null,203,AF,null,International Lease Finance Corp,2,JET,13.0,active,1.0
F-GZCO,Airbus A330/A340,A330-200,A330,A330-203,39644E,332,657,null,2000-05-01T22:00:00.000Z,2005-02-14T23:00:00.000Z,2005-04-03T22:00:00.000Z,2005-04-03T22:00:00.000Z,null,203,AF,null,International Lease Finance Corp,2,JET,12.0,active,1.0
F-GZNA,Boeing 777,B777-300,777,B777-328(ER),3965A0,77W,35297,null,2007-09-18T22:00:00.000Z,2007-10-04T22:00:00.000Z,2007-10-23T22:00:00.000Z,2007-10-23T22:00:00.000Z,0671,328ER,AF,null,International Lease Finance Corp,2,JET,10.0,active,null
F-GZNB,Boeing 777,B777-300,777,B777-328(ER),3965A1,77W,32964,null,2008-04-02T22:00:00.000Z,2008-04-19T22:00:00.000Z,2008-04-28T22:00:00.000Z,2008-05-01T22:00:00.000Z,0715,328ER,AF,null,null,2,JET,9.0,active,null
F-GZNC,Boeing 777,B777-300,777,B777-328(ER),3965A2,77W,35542,null,2008-05-06T22:00:00.000Z,2008-05-21T22:00:00.000Z,2008-05-29T22:00:00.000Z,2008-05-29T22:00:00.000Z,0723,328ER,AF,null,null,2,JET,9.0,active,null
F-GZND,Boeing 777,B777-300,777,B777-328(ER),3965A3,77W,35543,null,2009-03-11T23:00:00.000Z,2009-03-29T22:00:00.000Z,2009-04-08T22:00:00.000Z,2009-04-08T22:00:00.000Z,0777,328ER,AF,null,Geneva Triple Sept Leasing Ltd,2,JET,8.0,active,null
F-GZNE,Boeing 777,B777-300,777,B777-328(ER),3965A4,77W,37432,null,2009-05-12T22:00:00.000Z,2009-06-01T22:00:00.000Z,2009-06-09T22:00:00.000Z,2009-06-11T22:00:00.000Z,0790,328ER,AF,null,Marseille Aviation Limited,2,JET,8.0,active,null
F-GZNF,Boeing 777,B777-300,777,B777-328(ER),3965A5,77W,37433,null,2009-05-13T22:00:00.000Z,2009-06-01T22:00:00.000Z,2009-06-22T22:00:00.000Z,2009-06-22T22:00:00.000Z,0792,328ER,AF,null,null,2,JET,8.0,active,null
F-GZNG,Boeing 777,B777-300,777,B777-328(ER),3965A6,77W,32968,null,2009-05-27T22:00:00.000Z,2009-06-18T22:00:00.000Z,2009-06-25T22:00:00.000Z,2009-06-29T22:00:00.000Z,0795,328ER,AF,null,BOC Aviation,2,JET,8.0,active,null
F-GZNH,Boeing 777,B777-300,777,B777-328(ER),3965A7,77W,35544,null,2010-11-01T23:00:00.000Z,2010-11-09T23:00:00.000Z,2010-12-06T23:00:00.000Z,2010-12-12T23:00:00.000Z,0905,328ER,AF,null,null,2,JET,6.0,active,null
F-GZNI,Boeing 777,B777-300,777,B777-328(ER),3965A8,77W,39973,null,2011-02-26T23:00:00.000Z,2011-03-14T23:00:00.000Z,2011-03-31T22:00:00.000Z,2011-04-04T22:00:00.000Z,0924,328ER,AF,null,null,2,JET,6.0,active,null
F-GZNJ,Boeing 777,B777-300,777,B777-328(ER),3965A9,77W,38706,null,2011-03-20T23:00:00.000Z,2011-04-05T22:00:00.000Z,2011-04-14T22:00:00.000Z,2011-04-18T22:00:00.000Z,0928,328ER,AF,null,null,2,JET,6.0,active,null
